1.000000000000000000e+00 5.291041242045858795e+00
1.333333333333333259e+00 5.150356448158365019e+00
1.666666666666666519e+00 8.837266017927186468e+00
2.000000000000000000e+00 8.653482276835914533e+00
2.333333333333333037e+00 9.858769388089191565e+00
2.666666666666666519e+00 1.032445905485319138e+01
3.000000000000000000e+00 1.203214189562364389e+01
3.333333333333333037e+00 1.192178787692441588e+01
3.666666666666666519e+00 1.327973166164124308e+01
4.000000000000000000e+00 1.266933605314651601e+01
